Artist	Title	Label	Number	Matrix	Year	link_MP3
 http://www.jazz-on-line.com/a/mp3h/Vic75261-1.mp3	Glen Gray And His Orchestra	 Dardanella, Black-eyed Susan Brown, Casa Loma Stomp	Victor	L-16023	75261-1	1933	
http://www.jazz-on-line.com/a/mp3h/VOCC-2302.mp3	Sammy Stewart's Orchestra	' Cause I Feel Low Down	VOCALION	15724	C-2302	1928	
http://www.jazz-on-line.com/a/mp3w/1949_012.mp3	Perry Como And Fontane Sisters	''a'' - You're Adorable	RCA Victor	78-3381		1949	
http://www.jazz-on-line.com/a/mp3d/Col145764-3.mp3	Fletcher Henderson And His Orchestra	''d'' Natural Blues	Columbia	1543-D	145764-3  	1928	
http://www.jazz-on-line.com/a/mp3d/Dec65249-A.mp3	Andy Kirk And His Twelve Clouds Of Joy	''i Wanna' Go Where You Go - Do What You Do Then I'll Be Happy	Decca	2723	65249-A	1939	
http://www.jazz-on-line.com/a/mp3d/Voc13278.mp3	Fletcher Henderson And His Club Alabama Orchestra	''those Broken Busted'' (can't Be Trusted Bleus)	Vocalion	14838	13278	1924	
http://www.jazz-on-line.com/a/mp3r/RiCol1467-D.mp3	Leo Reisman & His Orchestra	'cause I Feel Low-down	Columbia	1467-D		1928	
http://www.jazz-on-line.com/a/mp3w/1952_225.mp3	Guy Mitchell And Mindy Carson Feat. Mitch Miller's Orchestra	'cause I Love You, That's A-why	COLUMBIA	39879		1952	
http://www.jazz-on-line.com/a/mp3b/Joh783A.mp3	Ed Smalle And His Piano	'deed I Do				1927	
http://www.jazz-on-line.com/a/mp3h/OKe403842-A.mp3	Arthur Schutt And His Orchestra	'leven-thirty Saturday Night	OKeh	41400	403842-A	1930	
http://www.jazz-on-line.com/a/mp3h/VIC62683-2.mp3	Henny Hendrickson's Louisville Serenaders	'leven-thirty Saturday Night	VICTOR		62683-2	1930	
http://www.jazz-on-line.com/a/mp3d/Vic81088-1.mp3	Cab Calloway And His Cotton Club Orchestra	'long About Midnight	Victor	24592	81088-1	1934	
http://www.jazz-on-line.com/a/mp3t/TS480744.mp3	Ben Webster Quintet	'nuff Said	Circle	CLP42	N1635-1	1944	Hot Lips Page (tp), Ben Webster (ts), Clyde Hart (p), Charlie Drayton (sb), Denzil Best (dm)
http://www.jazz-on-line.com/a/mp3r/RiVic18436r.mp3	American Quartet	'round Her Neck She Wears A Yellow Ribbon	Victor	18436		1918	
http://www.jazz-on-line.com/a/mp3t/TS480483.mp3	Art Pepper Plus Eleven	'round Midnight	Continental	M3568		1959	Pete Candoli, Jack Sheldon (tp), Dick Nash (tb), Bob Ebevoldsen (ts, vtb), Vince DeRosa (fhr), Art Pepper, Herb Geller (as), Bill Perkins (ts), Med Flory (bar), Russ Freeman (p), Joe Mondragon (sb), Mel Lewis (dm), Marty Paich (arr, cond)
http://www.jazz-on-line.com/a/mp3t/TS480570.mp3	Art Tatum And Benny Carter	's Wonderful	Clef	EP-319	1800-2	1954	Art Tatum (p), Benny Carter (as), Louie Bellson (dm)
http://www.jazz-on-line.com/a/mp3b/Vic42567-1.mp3	Louisiana Sugar Babes	'sippi	Victor	21348	42567-1	1928	
http://www.jazz-on-line.com/a/mp3e/DEC39551-A.mp3	Jimmie Lunceford And His Orchestra	'sleepy Time Gal	DECCA	908B	39551-A	1935	
http://www.jazz-on-line.com/a/mp3b/Dec61250-A.mp3	Jimmie Lunceford And His Orchestra	'tain't Good (like A Nickle Made Of Wood)	Decca	960	61250-A	1936	
http://www.jazz-on-line.com/a/mp3d/Dec61250-A.mp3	Jimmie Lunceford And His Orchestra	'tain't Good (like A Nickle Made Of Wood).mp3	Decca	960	61250-A	1936	
http://www.jazz-on-line.com/a/mp3b/Oke71068-C.mp3	Sara Martin	'tain't Nobody's Bus'ness If I Do	Okeh	8043	71068-C	1922	
http://www.jazz-on-line.com/a/mp3d/Dec65040-A.mp3	Chick Webb And His Orchestra	'tain't What You Do	Decca	2310	65040-A	1939	
http://www.jazz-on-line.com/a/mp3d/Oke23905-1.mp3	Jimmie Lunceford And His Orchestra	'tain't What You Do (it's The Way That You Do It)	Okeh	4582	23905-1	1938	Jimmie Lunceford dir. Eddie Tompkins-t-v/Paul Webster-t/Sy  O1iver-t-v-a/Elmer Crumbley-Russell Bowles-tb/James ''Trummy'' Young-tb-v/Willie Smith-cl-as-bar-v-a/Earl Carruthers-cl-as-bar/Ted Buckner-as/Dan Grissom-as-v/Joe Thomas-cl-ts/Edwin Willcox-
http://www.jazz-on-line.com/a/mp3e/V-D219A.mp3	Jimmy Lunceford And His Orchestra	'taint What You Do	V-DISC	219A			
http://www.jazz-on-line.com/a/mp3h/BruB-24193-1.mp3	Harry James And His Orchestra	'taint What You Do (it's The Way That Cha Do It)	Brunswick	8337	B-24193-1  	1939	
http://www.jazz-on-line.com/a/mp3e/Col031655-1.mp3	Benny Goodman And His Orchestra	'tis Autumn	Columbia	GL-523	CO-031655-1	1941	
http://www.jazz-on-line.com/a/mp3w/1937_290.mp3	Erskine Hawkins And His 'bama State Collegians	'way Down Upon The Swanee River	VOCALION	3567	21002-1	1937	Erskine Hawkins, Wilbur Bascomb, Marcellus Green, Sam Lowe (tp), Edward Sims, Robert Range (tb), William Johnson, Jimmy Mitchelle (as, vo), Paul Bascomb (ts), Heywood Henry (cl, bar), Avery Parrish (p), William McLemore (g), Leemie Stanfield (sb), James Morrison (dm)
http://www.jazz-on-line.com/a/mp3d/Dec73397.mp3	Lucky Millinder And His Orchestra	(ah-yes) There's Good Blues Tonight	Decca	18835	73397	1946	
http://www.jazz-on-line.com/a/mp3w/1954_097.mp3	Cheers	(bazoom) I Need Your Lovin'	Capitol	2921		1954	
http://www.jazz-on-line.com/a/mp3w/1945_117.mp3	Perry Como	(did You Ever Get) That Feeling In The Moonlight	VICTOR	1709		1945	
http://www.jazz-on-line.com/a/mp3w/1938_172.mp3	Eddy Duchin And His Orchestra Feat. V/stanley Worth	(don't Wait Till) The Night Before Christmas	BRUNSWICK	8264		1938	
http://www.jazz-on-line.com/a/mp3d/Dec68319-A.mp3	Andy Kirk And His Twelve Clouds Of Joy	(ev'rything Happened) When I Saw You	Decca	3491	68319-A	1940	
http://www.jazz-on-line.com/a/mp3t/TS480666.mp3	Nat King Cole	(get Your Kicks On) Route 66	Capitol	EAP3/EBF2/W-782		1956	Nat King Cole, P & Vocal, Harry ''Sweets'' Edison, T, John Collins, G, Charlie Harris, B, Lee Young, D
http://www.jazz-on-line.com/a/mp3w/1917_064.mp3	Nora Bayes	(goodbye, And Luck Be With You) Laddie Boy	Victor	45130		1917	
http://www.jazz-on-line.com/a/mp3w/1939_081.mp3	Kay Kyser And His Orchestra	(gotta Get Some) Shut-eye	BRUNSWDECCAICK	8312		1939	
http://www.jazz-on-line.com/a/mp3w/1937_156.mp3	Mal Hallet And His Orchestra	(have You Forgotten) The You And Me That Used To Be	DECCA	1281		1937	
http://www.jazz-on-line.com/a/mp3d/VocWM-1057-A.mp3	Cab Calloway And His Orchestra	(hep-hep!) The Jumpin' Jive	Vocalion	5005	WM-1057-A	1939	
http://www.jazz-on-line.com/a/mp3w/1939_024.mp3	Cab Calloway And His Orchestra	(hep-hep) The Jumpin' Jive	VOCALION	5005		1939	
http://www.jazz-on-line.com/a/mp3w/1939_197.mp3	Bing Crosby And Connee Boswell Feat. John Scott Trotter's Orchestra	(ho-dle-ay) Start The Day Right	DECCA	2626		1939	
http://www.jazz-on-line.com/a/mp3h/BruB-22085-1.mp3	Harry James And His Orchestra	(i Can Dream) Can't I?	Brunswick	8038	B-22085-1  	1937	
http://www.jazz-on-line.com/a/mp3d/Dec64785-A.mp3	Andy Kirk And His Twelve Clouds Of Joy	(i Don't Believe It But) Say It Again	Decca	2774	64785-A	1938	
http://www.jazz-on-line.com/a/mp3w/1933_125.mp3	Ted Fio Rito And His Orchestra Feat. Muzzy Marcellino	(i Don't Stand) A Ghost Of A Chance With You	BRUNSWICK	6505		1933	
http://www.jazz-on-line.com/a/mp3d/Dec65189-A.mp3	Andy Kirk And His Twelve Clouds Of Joy	(i Guess) I'll Never Learn	Decca	2510	65189-A	1939	
http://www.jazz-on-line.com/a/mp3w/1946_008.mp3	King Cole Trio	(i Love You) For Sentimental Reasons	Capitol	304		1946	
http://www.jazz-on-line.com/a/mp3w/1947_091.mp3	Ella Fitzgerald Feat. Delta Rhythm Boys	(i Love You) For Sentimental Reasons	DECCA	23670	73669	1947	
http://www.jazz-on-line.com/a/mp3b/Par1468-1.mp3	Anna Jones	(i Wish I Could Shimmy Like My) Sister Kate	Paramount	12052	1468-1	1923	
http://www.jazz-on-line.com/a/mp3e/Col152199-1.mp3	Claude Hopkins And His Orchestra	(i Would Do) Anything For You	Columbia	2665-D	152199-1	1932	
http://www.jazz-on-line.com/a/mp3e/JazB-11894-A.mp3	Claude Hopkins And His Orchestra	(i Would Do) Anything For You	Jazz Archives	4	B-11894-A	1932	
http://www.jazz-on-line.com/a/mp3w/1948_269.mp3	Frankie Carle And His Orchestra	(i'm A-comin', I'm A-courtin')corabelle	COLUMBIA	37972		1948	
http://www.jazz-on-line.com/a/mp3w/1939_069.mp3	Larry Clinton And His Orchestra Feat. Bea Wain	(i'm Afraid) The Masquerade Is Over	VICTOR	26151	031812	1939	
http://www.jazz-on-line.com/a/mp3w/1955_156.mp3	Eddie Fisher	(i'm Always Hearing) Wedding Bells	RCA Victor	6015		1955	
http://www.jazz-on-line.com/a/mp3w/1955_055.mp3	Art Mooney And His Orchestra With Barry Gordon	(i'm Getting) Nuttin' For Christmas	MGM	12092		1955	
http://www.jazz-on-line.com/a/mp3w/1955_159.mp3	Ricky Zahnd And The Blue Jeaners	(i'm Getting) Nuttin' For Christmas	Columbia	40576		1955	
http://www.jazz-on-line.com/a/mp3h/GenX-190-A.mp3	Duke Ellington & His Washingtonians	(i'm Just Wild About) Animal Crackers	Gennett	3342	X-190-A	1926	
http://www.jazz-on-line.com/a/mp3t/TS480612.mp3	The Art Tatum Trio	(i'm Left With The) Blues In My Heart	Clef	EP-318	1792-1	1954	Benny Carter (as), Art Tatum (p), Louie Bellson (dm)
http://www.jazz-on-line.com/a/mp3w/1938_222.mp3	Benny Goodman And His Orchestra Feat. Martha Tilton	(i've Been) Savin' Myself For You	Victor	25867		1938	
http://www.jazz-on-line.com/a/mp3b/VocC-2232-1.mp3	Fletcher Henderson And His Orchestra	(i've Been) Saving Myself For You	Vocallon	4154	C-2232-1  	1938	
http://www.jazz-on-line.com/a/mp3r/RiVic27934.mp3	Glenn Miller & His Orchestra	(i've Got A Gal In) Kalamazoo	Victor	27934		1942	
http://www.jazz-on-line.com/a/mp3a/VIC072283.mp3	Glenn Miller And His Orch Vocal By Tex Beneke And The Modernaires	(i've Got A Gal In) Kalamazoo	VICTOR	27934	072283	1942	
http://www.jazz-on-line.com/a/mp3w/1937_225.mp3	Fred Astaire Feat. Johnny Green And His Orchestra	(i've Got) Beginner's Luck	BRUNSWICK	7855	LA1274-D	1937	
http://www.jazz-on-line.com/a/mp3o/HAR303-Hx.mp3	Astorites	(i've Grown So Lonesome) Th	Harmony	303-H			
http://www.jazz-on-line.com/a/mp3b/BRU18613-1.mp3	Teddy Wilson And His Orchestra	(if I Had) Rhythm In My Nursery Rhyme	BRUNSWICK	7612	18613-1	1936	
http://www.jazz-on-line.com/a/mp3w/1936_138.mp3	Tommy Dorsey And His Orchestra	(if I Had) Rhythm In My Nursery Rhymes	Victor	25201		1936	
http://www.jazz-on-line.com/a/mp3w/1936_297.mp3	Ella Fitzgerald Feat. O/chick Webb	(if You Can't Sing It) You'll Have To Swing It	Decca	1032		1936	
http://www.jazz-on-line.com/a/mp3w/1951_039.mp3	Savannah Churchill	(it's No) Sin	RCA VICTOR	4280		1951	
http://www.jazz-on-line.com/a/mp3w/1951_106.mp3	Four Knights	(it's No) Sin	Capitol	1806		1951	
http://www.jazz-on-line.com/a/mp3w/1941_049.mp3	Kay Kyser And His Orchestra	(lights Out) Til Reveille	COLUMBIA	36137	HCO264	1941	
http://www.jazz-on-line.com/a/mp3b/BruB-16289-A.mp3	Louis Prima And His New Orleans Gang	(looks Like I'm) Breakin' The Ice	Brunswick	7320	B-16289-A	1934	
http://www.jazz-on-line.com/a/mp3w/1956_054.mp3	Frank Sinatra	(love Is) The Tender Trap	Capitol	3290		1956	
http://www.jazz-on-line.com/a/mp3w/1953_246.mp3	Ruth Brown Feat. Taft Jordan (trumpet)	(mama) He Treats Your Daughter Mean	Atlantic	986		1953	
